id,kind,label,organism
M4-FUNG-0159,BGC,BGC0001267,Claviceps fusiformis
M4-FUNG-0160,BGC,BGC0001268,Fusarium fujikuroi
M4-FUNG-0161,BGC,BGC0001269,Sphaceloma manihoticola
NCBITAXON:49223,ORGANISM,Sphaceloma manihoticola,
M4-FUNG-0162,BGC,BGC0001270,Fusarium fujikuroi
M4-FUNG-0163,BGC,BGC0001271,Aspergillus nidulans FGSC A4
M4-FUNG-0164,BGC,BGC0001272,Elsinoë fawcettii
M4-FUNG-0165,BGC,BGC0001273,Aspergillus ochraceus in MIBiG; defining paper reports Aspergillus westerdijkiae
NCBITAXON:40380 in canonical source row,ORGANISM,Aspergillus ochraceus in MIBiG; defining paper reports Aspergillus westerdijkiae,
M4-FUNG-0166,BGC,BGC0001274,Starmerella bombicola (historical literature: Candida bombicola)
NCBITAXON:75736,ORGANISM,Starmerella bombicola (historical literature: Candida bombicola),
M4-FUNG-0167,BGC,BGC0001275,Glarea lozoyensis
M4-FUNG-0168,BGC,BGC0001276,Aspergillus terreus
M4-FUNG-0169,BGC,BGC0001277,Fusarium graminearum
M4-FUNG-0170,BGC,BGC0001278,Fusarium sporotrichioides
NCBITAXON:5514,ORGANISM,Fusarium sporotrichioides,
M4-FUNG-0171,BGC,BGC0001279,Paramyrothecium roridum (historical Myrothecium roridum)
NCBITAXON:1859971,ORGANISM,Paramyrothecium roridum (historical Myrothecium roridum),
M4-FUNG-0172,BGC,BGC0001280,historical Phoma betae
M4-FUNG-0173,BGC,BGC0001281,Ustilago maydis 521
NCBITAXON:237631,ORGANISM,Ustilago maydis 521,
M4-FUNG-0174,BGC,BGC0001282,Epichloë coenophiala
NCBITAXON:5047,ORGANISM,Epichloë coenophiala,
M4-FUNG-0175,BGC,BGC0001284,Parastagonospora nodorum SN15
NCBITAXON:321614,ORGANISM,Parastagonospora nodorum SN15,
M4-FUNG-0176,BGC,BGC0001286,Ustilago maydis
NCBITAXON:5270,ORGANISM,Ustilago maydis,
M4-FUNG-0177,BGC,BGC0001290,Aspergillus nidulans FGSC A4
M4-FUNG-0178,BGC,BGC0001304,Aspergillus flavus NRRL3357
M4-FUNG-0179,BGC,BGC0001305,Fusarium fujikuroi IMI 58289
M4-FUNG-0180,BGC,BGC0001306,Aspergillus flavus NRRL3357
M4-FUNG-0181,BGC,BGC0001309,Cladonia uncialis mycobiont
NCBITAXON:174080,ORGANISM,Cladonia uncialis mycobiont,
M4-FUNG-0182,BGC,BGC0001338,Monascus ruber
NCBITAXON:89489,ORGANISM,Monascus ruber,
M4-FUNG-0183,BGC,BGC0001339,Phoma sp. MF5453
NCBITAXON:1828523,ORGANISM,Phoma sp. MF5453,
M4-FUNG-0184,BGC,BGC0001340,"Byssochlamys fulva, historical producer strain IMI 40021"
NCBITAXON:89137,ORGANISM,"Byssochlamys fulva, historical producer strain IMI 40021",
M4-FUNG-0185,BGC,BGC0001358,Purpureocillium lilacinum
NCBITAXON:33203,ORGANISM,Purpureocillium lilacinum,
M4-FUNG-0186,BGC,BGC0001360,Penicillium roqueforti FM164
M4-FUNG-0187,BGC,BGC0001365,Claviceps purpurea 20.1
NCBITAXON:1111077,ORGANISM,Claviceps purpurea 20.1,
M4-FUNG-0188,BGC,BGC0001371,Aspergillus nidulans NRRL 8112
NCBITAXON:1160106,ORGANISM,Aspergillus nidulans NRRL 8112,
M4-FUNG-0189,BGC,BGC0001372,Penicillium thymicola
NCBITAXON:293382,ORGANISM,Penicillium thymicola,
M4-FUNG-0190,BGC,BGC0001373,Sordaria araneosa
NCBITAXON:573841,ORGANISM,Sordaria araneosa,
M4-FUNG-0191,BGC,BGC0001375,Penicillium simplicissimum
NCBITAXON:69488,ORGANISM,Penicillium simplicissimum,
M4-FUNG-0192,BGC,BGC0001385,Byssochlamys fulva
M4-FUNG-0193,BGC,BGC0001390,Stachybotrys bisbyi
NCBITAXON:80385,ORGANISM,Stachybotrys bisbyi,
M4-FUNG-0194,BGC,BGC0001398,Phomopsis leptostromiformis
NCBITAXON:291059,ORGANISM,Phomopsis leptostromiformis,
M4-FUNG-0195,BGC,BGC0001399,Aspergillus nidulans FGSC A4
M4-FUNG-0196,BGC,BGC0001400,Aspergillus terreus NIH2624 in the canonical record
M4-FUNG-0197,BGC,BGC0001401,Armillaria mellea
NCBITAXON:47429,ORGANISM,Armillaria mellea,
M4-FUNG-0198,BGC,BGC0001403,Aspergillus fumigatus Af293
M4-FUNG-0199,BGC,BGC0001404,Penicillium rubens Wisconsin 54-1255
M4-FUNG-0200,BGC,BGC0001405,Chaetomium globosum CBS 148.51
M4-FUNG-0201,BGC,BGC0001445,Aspergillus flavus NRRL 3357
M4-FUNG-0202,BGC,BGC0001446,Aspergillus flavus NRRL 3357
M4-FUNG-0203,BGC,BGC0001449,Thermothelomyces thermophilus
NCBITAXON:78579,ORGANISM,Thermothelomyces thermophilus,
M4-FUNG-0204,BGC,BGC0001450,Penicillium terrestre
NCBITAXON:374132,ORGANISM,Penicillium terrestre,
M4-FUNG-0205,BGC,BGC0001466,Talaromyces wortmannii
NCBITAXON:28567,ORGANISM,Talaromyces wortmannii,
M4-FUNG-0206,BGC,BGC0001475,Aspergillus terreus NIH2624
M4-FUNG-0207,BGC,BGC0001481,Fusarium fujikuroi IMI 58289
M4-FUNG-0208,BGC,BGC0001489,Cladonia uncialis subsp. uncialis
NCBITAXON:180999,ORGANISM,Cladonia uncialis subsp. uncialis,
M4-FUNG-0209,BGC,BGC0001508,Penicillium roqueforti
NCBITAXON:5082,ORGANISM,Penicillium roqueforti,
M4-FUNG-0210,BGC,BGC0001515,Aspergillus nidulans FGSC A4
M4-FUNG-0211,BGC,BGC0001516,Aspergillus flavus NRRL3357
M4-FUNG-0212,BGC,BGC0001517,Aspergillus terreus NIH2624
M4-FUNG-0213,BGC,BGC0001518,Aspergillus oryzae RIB40
M4-FUNG-0214,BGC,BGC0001527,Gelatoporia subvermispora
NCBITAXON:42742,ORGANISM,Gelatoporia subvermispora,
M4-FUNG-0215,BGC,BGC0001528,Historical record: Phoma betae
M4-FUNG-0216,BGC,BGC0001541,Cercospora beticola
NCBITAXON:122368,ORGANISM,Cercospora beticola,
M4-FUNG-0217,BGC,BGC0001542,Cercospora zeina
NCBITAXON:348901,ORGANISM,Cercospora zeina,
M4-FUNG-0218,BGC,BGC0001544,Aspergillus campestris IBT 28561
NCBITAXON:1392248,ORGANISM,Aspergillus campestris IBT 28561,
M4-FUNG-0219,BGC,BGC0001545,Fusarium graminearum PH-1
NCBITAXON:229533,ORGANISM,Fusarium graminearum PH-1,
M4-FUNG-0220,BGC,BGC0001547,Aspergillus stellatus
NCBITAXON:1549217,ORGANISM,Aspergillus stellatus,
M4-FUNG-0221,BGC,BGC0001557,"Canonical source: Paecilomyces divaricatus, TaxID 644132"
NCBITAXON:644132,ORGANISM,"Canonical source: Paecilomyces divaricatus, TaxID 644132",
M4-FUNG-0222,BGC,BGC0001563,"Canonical source: Cochliobolus pallescens, TaxID 318706"
NCBITAXON:318706,ORGANISM,"Canonical source: Cochliobolus pallescens, TaxID 318706",
M4-FUNG-0223,BGC,BGC0001565,"Canonical source/MIBiG: Beauveria felina, TaxID 37994"
NCBITAXON:37994,ORGANISM,"Canonical source/MIBiG: Beauveria felina, TaxID 37994",
M4-FUNG-0224,BGC,BGC0001571,Nodulisporium sp.
NCBITAXON:1897413,ORGANISM,Nodulisporium sp.,
M4-FUNG-0225,BGC,BGC0001573,Claviceps africana
NCBITAXON:83212,ORGANISM,Claviceps africana,
M4-FUNG-0226,BGC,BGC0001578,Talaromyces stipitatus ATCC 10500
M4-FUNG-0227,BGC,BGC0001585,Escovopsis weberi
NCBITAXON:150374,ORGANISM,Escovopsis weberi,
M4-FUNG-0228,BGC,BGC0001600,Fusarium graminearum
M4-FUNG-0229,BGC,BGC0001604,Fusarium fujikuroi
M4-FUNG-0230,BGC,BGC0001606,Fusarium fujikuroi IMI 58289
M4-FUNG-0231,BGC,BGC0001609,Trichoderma virens Gv29-8
NCBITAXON:413071,ORGANISM,Trichoderma virens Gv29-8,
M4-FUNG-0232,BGC,BGC0001613,Trichoderma hypoxylon
NCBITAXON:1888172,ORGANISM,Trichoderma hypoxylon,
M4-FUNG-0233,BGC,BGC0001616,Aspergillus japonicus
M4-FUNG-0234,BGC,BGC0001617,Stereum hirsutum FP-91666 SS1
NCBITAXON:721885,ORGANISM,Stereum hirsutum FP-91666 SS1,
M4-FUNG-0235,BGC,BGC0001621,Aspergillus flavus NRRL3357
M4-FUNG-0236,BGC,BGC0001624,Pestalotiopsis fici
NCBITAXON:393283,ORGANISM,Pestalotiopsis fici,
M4-FUNG-0237,BGC,BGC0001626,Stachybotrys chlorohalonata IBT 40285
NCBITAXON:1283841,ORGANISM,Stachybotrys chlorohalonata IBT 40285,
